COUNTY,HS_NUM_FRM,HS_NUM_TO,RULE_TYPE,STDIR_CODE,STREET_NAME,STYP_CODE,PRECINCT,SPLIT_CODE
SUMMIT,14,24,0,,ALDERS,LN,2086159007,37
SUMMIT,700,764,0,,ALHAMBRA,RD,2086159007,37
SUMMIT,166,276,0,,ALPEN ROSE,PL,2086159007,37
SUMMIT,44,75,0,,ANTLERS GULCH,RD,2086159007,37
SUMMIT,11,32,0,,APPALOOSA,CT,2086159007,37
SUMMIT,14,34,0,,ARABELLA,DR,2086159007,37
SUMMIT,16,66,0,,ARAPAHOE,TRL,2086159007,37
SUMMIT,165,177,0,,ARGENTINE,CT,2086159007,37
SUMMIT,23107,23137,0,,ASPEN,WAY,2086159007,37
SUMMIT,19,131,0,,ASTER,LN,2086159007,32
SUMMIT,23077,23237,0,,BARBOUR,DR,2086159007,37
SUMMIT,13,44,0,,BEAR TREE,CT,2086159007,37
SUMMIT,21,52,0,,BRISTLECONE,CT,2086159007,37
SUMMIT,7,853,0,,BULLION MINE,RD,2086159007,35
SUMMIT,116,293,0,,CARAVELLE,DR,2086159007,37
SUMMIT,760,760,0,,CHIHUAHUA GULCH,RD,2086159007,35
SUMMIT,25,205,0,,CLOVER,LN,2086159007,35
SUMMIT,13,44,0,,COUNTY RD 162,,2086159007,37
SUMMIT,75,443,0,,COUNTY RD 165,,2086159007,37
SUMMIT,22,3150,0,,COUNTY RD 175,,2086159007,37
SUMMIT,63,75,0,,COUNTY RD 188,,2086159007,37
SUMMIT,4,18,0,,COUNTY RD 224,,2086159007,37
SUMMIT,24,643,0,,COUNTY RD 255,,2086159007,35
SUMMIT,275,280,0,,COUNTY RD 268,,2086159007,57
SUMMIT,584,584,0,,COUNTY RD 5,,2086159007,35
SUMMIT,5115,5455,0,,COUNTY RD 5,,2086159007,55
SUMMIT,5244,5244,0,,COUNTY RD 5,,2086159007,35
SUMMIT,18,297,0,,COUNTY RD 67,,2086159007,37
SUMMIT,17,180,0,,COUNTY RD 68,,2086159007,37
SUMMIT,116,200,0,,COUNTY RD 71,,2086159007,37
SUMMIT,31,31,0,,COUNTY RD 72,,2086159007,35
SUMMIT,165,1513,0,,COUNTY RD 8,,2086159007,37
SUMMIT,22318,22318,0,,DECATUR HILL,RD,2086159007,37
SUMMIT,135,135,0,,DERCUM,DR,2086159007,37
SUMMIT,100,150,0,,DERCUM,SQ,2086159007,37
SUMMIT,17,58,0,,EDELWEISS,CIR,2086159007,35
SUMMIT,120,671,0,,ELK,CIR,2086159007,37
SUMMIT,38,426,0,,ELK CROSSING,LN,2086159007,37
SUMMIT,10,63,0,,ELK SPUR,LN,2086159007,37
SUMMIT,48,52,0,,FIFTH,ST,2086159007,55
SUMMIT,76,76,0,,FIREHOUSE,DR,2086159007,37
SUMMIT,63,118,0,,FORGET ME NOT,LN,2086159007,35
SUMMIT,48,48,0,,FOURTH,ST,2086159007,55
SUMMIT,33,293,0,,GENTIAN,RD,2086159007,35
SUMMIT,6,160,0,,GOLDENROD,CIR,2086159007,32
SUMMIT,19,180,0,E,HANSON,RD,2086159007,37
SUMMIT,17,77,0,W,HANSON,RD,2086159007,37
SUMMIT,50,50,0,,HARDWICK,ST,2086159007,55
SUMMIT,5275,5465,0,,HARDWICK,ST,2086159007,55
SUMMIT,20,231,0,,HAWK,CIR,2086159007,35
SUMMIT,20,208,0,,HUNKIDORI,CT,2086159007,37
SUMMIT,21273,23237,0,,HWY 6,,2086159007,37
SUMMIT,28194,28194,0,,HWY 6,,2086159007,35
SUMMIT,140,140,0,,IDA BELL,DR,2086159007,37
SUMMIT,11,111,0,,INDEPENDENCE,LN,2086159007,37
SUMMIT,118,878,0,,INDEPENDENCE,RD,2086159007,37
SUMMIT,165,1513,0,,KEYSTONE,RD,2086159007,37
SUMMIT,22,3150,0,,KEYSTONE GULCH,RD,2086159007,37
SUMMIT,22,27,0,,KEYSTONE RANCH,RD,2086159007,37
SUMMIT,900,900,0,,KEYSTONE RANCH,RD,2086159007,35
SUMMIT,1250,1254,0,,KEYSTONE RANCH,RD,2086159007,37
SUMMIT,1293,2494,0,,KEYSTONE RANCH,RD,2086159007,35
SUMMIT,1,161,0,,KINNIKINNIK,RD,2086159007,35
SUMMIT,17,97,0,,LAKE RIDGE,CIR,2086159007,37
SUMMIT,23,113,0,,LAST CHANCE,LN,2086159007,37
SUMMIT,11,122,0,,LENAWEE,LN,2086159007,37
SUMMIT,50,150,0,,LICHEN,LN,2086159007,35
SUMMIT,650,8146,0,,LONE PINE,CIR,2086159007,37
SUMMIT,5342,5425,0,,MAIN,ST,2086159007,55
SUMMIT,27,740,0,,MEISEL,DR,2086159007,37
SUMMIT,5395,5475,0,,MILNER,ST,2086159007,57
SUMMIT,5485,5485,0,,MILNER,ST,2086159007,55
SUMMIT,5724,5724,0,,MILNER,ST,2086159007,57
SUMMIT,85,85,0,,MONTEZUMA,RD,2086159007,55
SUMMIT,444,669,0,,MONTEZUMA,RD,2086159007,37
SUMMIT,670,5080,0,,MONTEZUMA,RD,2086159007,35
SUMMIT,5115,5485,0,,MONTEZUMA,RD,2086159007,55
SUMMIT,5244,5244,0,,MONTEZUMA,RD,2086159007,35
SUMMIT,5534,8450,0,,MONTEZUMA,RD,2086159007,35
SUMMIT,17,17,0,,MORGAN GULCH,RD,2086159007,55
SUMMIT,69,97,0,,MORGAN GULCH,RD,2086159007,57
SUMMIT,59,326,0,,MOUNTAIN BLUEBELL,RD,2086159007,35
SUMMIT,32,111,0,,NORSE,LN,2086159007,37
SUMMIT,28,227,0,,NORTH FORK,RD,2086159007,37
SUMMIT,502,552,0,,NORTHSTAR,DR,2086159007,37
SUMMIT,6,1653,0,,ORO GRANDE,DR,2086159007,37
SUMMIT,44,77,0,,PAINT BRUSH,LN,2086159007,35
SUMMIT,28,72,0,,PAULSON,PL,2086159007,37
SUMMIT,112,373,0,,PENSTEMON,RD,2086159007,35
SUMMIT,661,1118,0,,PENSTEMON,RD,2086159007,32
SUMMIT,189,189,0,,PERU CREEK,RD,2086159007,35
SUMMIT,1026,1765,0,,PERU CREEK,RD,2086159007,35
SUMMIT,47,77,0,,PHLOX,LN,2086159007,35
SUMMIT,20,30,0,,PINE MEADOWS,LN,2086159007,37
SUMMIT,11,42,0,,PORCUPINE,CT,2086159007,37
SUMMIT,30,48,0,,POTENTILLA,CIR,2086159007,32
SUMMIT,31,90,0,,POTENTILLA,LN,2086159007,32
SUMMIT,3502,3502,0,,POTENTILLA,LN,2086159007,32
SUMMIT,57,122,0,,PRIMROSE,LN,2086159007,35
SUMMIT,208,1245,0,,RANCH HOUSE,DR,2086159007,35
SUMMIT,17,57,0,,RASOR,CT,2086159007,37
SUMMIT,18,297,0,,RASOR,DR,2086159007,37
SUMMIT,105,105,0,,RIVER COURSE,DR,2086159007,37
SUMMIT,155,155,0,,RIVER COURSE,DR,2086159007,35
SUMMIT,31,68,0,,RIVER OVERLOOK,CT,2086159007,37
SUMMIT,24,195,0,,RIVER RUN,RD,2086159007,37
SUMMIT,1628,1628,0,,SAINT JOHNS,RD,2086159007,37
SUMMIT,33,50,0,,SAINTS JOHN,RD,2086159007,55
SUMMIT,75,1200,0,,SAINTS JOHN,RD,2086159007,35
SUMMIT,4,18,0,,SANCTUARY,LN,2086159007,37
