COUNTY,HS_NUM_FRM,HS_NUM_TO,RULE_TYPE,STDIR_CODE,STREET_NAME,STYP_CODE,PRECINCT,SPLIT_CODE
SUMMIT,8,135,0,,97,CIR,2086159001,2
SUMMIT,157,157,0,,97,CIR,2086159001,2-opt out
SUMMIT,175,653,0,,97,CIR,2086159001,2
SUMMIT,17,68,0,,AMBER,CT,2086159001,4
SUMMIT,9,159,0,,ASPEN MEADOWS,,2086159001,2
SUMMIT,9,34,0,,BEAVERS,DR,2086159001,4
SUMMIT,113,1065,0,,BEAVERS,DR,2086159001,4
SUMMIT,33,564,0,,BLUE FLAG,CIR,2086159001,20
SUMMIT,44,73,0,,BLUE FLAG,DR,2086159001,20
SUMMIT,103,234,0,,BLUE FLAG,DR,2086159001,20
SUMMIT,42,362,0,,BLUE LAKES,RD,2086159001,15
SUMMIT,1454,1454,0,,BLUE LAKES,RD,2086159001,20
SUMMIT,6,90,0,,BLUFF,CT,2086159001,4
SUMMIT,9,121,0,,BOULDER,CIR,2086159001,4
SUMMIT,7,65,0,,BOULDER RIDGE,DR,2086159001,4
SUMMIT,33,1456,0,,BROKEN LANCE,DR,2086159001,4
SUMMIT,44,165,0,,BRYCE ESTATES,RD,2086159001,2
SUMMIT,13,624,0,,CAMRON,LN,2086159001,20
SUMMIT,63,573,0,,CARROLL,LN,2086159001,20
SUMMIT,101,109,0,,CHRISTIE,LN,2086159001,4
SUMMIT,600,935,0,,COLUMBINE,RD,2086159001,4
SUMMIT,66,66,0,,CONIFER,DR,2086159001,2
SUMMIT,1575,1841,1,,COUNTY RD 3,,2086159001,20
SUMMIT,112,112,0,,COUNTY RD 701,,2086159001,20
SUMMIT,163,163,0,,COUNTY RD 708,,2086159001,15
SUMMIT,193,343,0,,COUNTY RD 708,,2086159001,15
SUMMIT,344,344,0,,COUNTY RD 708,,2086159001,15
SUMMIT,350,351,0,,COUNTY RD 708,,2086159001,11
SUMMIT,364,494,0,,COUNTY RD 708,,2086159001,15
SUMMIT,234,580,0,,COUNTY RD 779,,2086159001,20
SUMMIT,1025,1027,0,,COUNTY RD 782,,2086159001,20
SUMMIT,21,461,0,,COUNTY RD 790,,2086159001,20
SUMMIT,33,564,0,,COUNTY RD 791,,2086159001,20
SUMMIT,30,225,0,,COUNTY RD 792,,2086159001,20
SUMMIT,44,73,0,,COUNTY RD 793,,2086159001,20
SUMMIT,103,234,0,,COUNTY RD 793,,2086159001,20
SUMMIT,149,603,0,,COUNTY RD 801,,2086159001,20
SUMMIT,27,438,0,,COUNTY RD 802,,2086159001,20
SUMMIT,48,78,0,,COUNTY RD 847,,2086159001,20
SUMMIT,42,342,0,,COUNTY RD 850,,2086159001,15
SUMMIT,1454,1454,0,,COUNTY RD 850,,2086159001,15
SUMMIT,26,187,0,,COUNTY RD 854,,2086159001,15
SUMMIT,92,277,0,,COUNTY RD 855,,2086159001,20
SUMMIT,34,252,0,,COUNTY RD 856,,2086159001,20
SUMMIT,31,802,0,,COUNTY RD 863,,2086159001,20
SUMMIT,8,522,0,,CROWN,DR,2086159001,2
SUMMIT,22,132,0,,ELLEN,CIR,2086159001,20
SUMMIT,31,147,0,,FLINTSTONE,LN,2086159001,4
SUMMIT,300,1075,0,,FOUR OCLOCK,RD,2086159001,4
SUMMIT,39,148,0,,FOUR OCLOCK RUN,RD,2086159001,4
SUMMIT,163,163,0,,FOUR OCLOCK RUN,RD,2086159001,15
SUMMIT,168,344,0,,FOUR OCLOCK RUN,RD,2086159001,15
SUMMIT,364,494,0,,FOUR OCLOCK RUN,RD,2086159001,15
SUMMIT,1296,1354,0,,GLENWILD,DR,2086159001,4
SUMMIT,11,177,0,,GOLD KING,WAY,2086159001,4
SUMMIT,234,234,0,,GOLD KING,WAY,2086159001,15
SUMMIT,235,785,0,,GOLD KING,WAY,2086159001,20
SUMMIT,10,18,0,,GOLD NUGGET,DR,2086159001,2
SUMMIT,67,67,0,,GOLD NUGGET,DR,2086159001,2-opt out
SUMMIT,137,360,0,,GOLD NUGGET,DR,2086159001,2
SUMMIT,24,218,0,,GOLDEN CROWN,LN,2086159001,2
SUMMIT,18,1001,0,,GRANDVIEW,DR,2086159001,4
